ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
23-10068-0108,"CAP EL 25V 1000UF 20% 105C RADIAL 10mmD 5mmLS RoHS",ARR100,"ECA-1EHG102",PAN500,"Panasonic",1,0.062000000000000000,0.062000,0.062000,,56,ELANSR,709.000000
23-10069-0336,"EOL7/23! CAP EL 33uF/450V 20%105C RAD16mmDx33mmH7.5mmLSRoHS",DIG100,"UCA2W330MHD",NIC500,"Nichicon  EOL",1,1.007222222222220000,1.013997,1.013997,,84,ELANSR,57.000000
23-10070-0477,"CAP EL 470uF/16V 20% 85C AXIAL 8mmD x 18mmH RoHS",ARR100,"MAL202135471E3",VIS500,"Vishay",1,0.634100000000000000,0.637244,0.637244,,84,ELANSR,500.000000
23-10071-0337,"CAP EL 330uF/50V 20% VLESR105C RADIAL 10mmDX20mmH 5mmLS RoHS",AVN100,"EEU-FR1H331LB",PAN500,"Panasonic",1,0.175999748015623000,0.176000,0.175995,,84,ELANSR,528.000000
23-10071-0687,"CAP EL 680uF/50V 20% VLESR105C RADIAL 12_5mmDX20mmH 5mmLS",MOU100,"661-EKZE500ELL681MK3",,,1,0.903000000000000000,0.903000,0.903000,,84,ELANSR,9.000000
23-10072-0228,"CAP EL 2200uF/50V 20% 105C RADIAL 16mmD x 31.5mmH x 7.5mmLS",DIG100,"493-1346-ND",,,1,0.700000000000000000,0.384955,0.522433,,56,ELANSR,7104.000000
23-10073-0227,"CAP EL 220uF/50V 20% 105CRAD10mmD x 20mmH x 5mmLS RoHS 26wks",DIG100,"50ZLH220MEFC10X16",RUB500,"Rubycon",3,0.188000000000000000,0.138000,0.162495,,0,ELANSR,1429.000000
23-10073-0477,"CAP EL 470uF/50V 20% 105C RADIAL 10mmD x 20mmH x 5mmLS RoHS",SHE107,"RGA471M1HBK-1020G",LEL500,"Lelon",2,0.104400000000000000,0.136526,0.142696,,42,ELANSR,11209.000000
23-10074-0228,"CAPEL 2200uF/16V 20% 105C RADIAL LS ESR",DIG100,"ESY228M016AL4AA",KEM500,"Kemet ",4,0.104300000000000000,0.345477,0.327005,,105,ELANSR,1495.000000
23-10075-0108,"CAP EL 1000uF/35V 20% 105C RADIAL 12.5mmD X 25mmH 5mmLS ESR",DIG100,"EKZE350ELL102MK25S",UNI500,"United Chemicon",1,0.203000000000000000,0.579248,0.299139,,84,ELANSR,501.000000
