ts,npr_item,bom_mpn,npr_desc,primary_label,primary_count,secondary_label,secondary_count,rerank_label,rerank_count,winner_itemnum,winner_desc,winner_seed,winner_score,winner_confidence,winner_notes,config_primary,config_topk_primary,config_rerank_k,config_return_k,dense_model,sparse_model,reranker_model
,,,,,,,,rerank,80,06-10004-470K,RES 470K 5% 1/10W 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10004-6K80,RES 6.8K 5% 1/10W 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10045-10K0,RES SMD 10K OHM 0.1% 1/10W 0603,,0.880921484871886,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10045-20K0,RES TF 1/10W 20K 0.1% 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-6K34,RES 6.34K OHM 1/10W 1% 0603  RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-3K83,RES 3.83K OHM 1/10W 1% 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10045-47K0,"RES SMD 47K OHM 0.1% 1/10W 0603, Thin Film",,0.9553611094996772,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-5K49,RES SMD 5.49K OHM 1% 1/10W 0603 RoHS,,0.9948248723669262,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-1K02,RES SMD 1.02K OHM 1% 1/10W 0603,,0.9737631131298796,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-5K49,RES SMD 5.49K OHM 1% 1/10W 0603 RoHS,,0.9695917220104315,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10106-22R0,RES ARRAY 4 RES 22 OHM 1206 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,48-10058-A001,TRANSISTOR MMUN2114LT1 PNP SOT-23 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-2K21,RES 2.21K 1% 1/10W 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10002-2K21,RES 2.21K 1% 1/10W 0603 RoHS,,0.9827895663834505,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,48-10058-A002,TRANSISTOR GP MMBT5087 PNP 50V SOT-23 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,48-10341-A001,DIODE SCHOTTKY B240A 40V 2A SMA RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
