ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
EC-025-004A003SA1,Hatco ITQ MC with LCD,,,,,0,31.077328,31.882074,31.077328,B,7,ELANSR,0
EC-025-004A003SA1SMT,SMT prtion for Hatco ITQ MC,,,,,0,20.1778,22.114528,20.1778,B,7,ELANSR,0
EC-025-004A003SA1TH,TH portion for Hatco ITQ MC,,,,,0,5.653751,4.554272,5.653751,B,7,ELANSR,0
EC-025-004A003SA2,Hatco ITQ UI,,,,,0,11.579116,11.015572,11.579116,B,7,ELANSR,0
EC-025-004A003SA2SMT,SMT portion for Hatco ITQ UI,,,,,0,4.233734,3.879587,4.233734,B,7,ELANSR,0
EC-025-004A004,Hatco Single Oven Toaster,,,,,0,54.49429858,52.499305,54.494299,B,7,ELANSR,39
EC-025-004IN,INTERNAL ASSEMBLY OF EC-025-004,,,,,0,45.992727,90.647541,45.992727,INC,7,ELANSR,0
EC-025-004SA1,"Sub-assembly, Dual Conveyor MC",,,,,0,28.843827,39.733608,29.725595,B,7,ELANSR,12
EC-025-004SA2,"Sub-assembly, Dual Conveyor UI",,,,,0,4.755181,4.457308,4.755181,A,7,ELANSR,216
EC-025-004SA3,EC-025-004SA2 + Hardware,,,,,0,5.34634,5.717119,5.34634,A,7,,87
EC-025-004SA4,EC-025-004SA1 with conformal coat,,,,,0,29.725595,40.087512,29.725595,A,7,ELANSR,0
EC-025-004SA5,EC-025-004SA2 + conformal coat + hardware,,,,,0,5.738127,6.213293,5.687506,A,7,ELANSR,0
EC-025-004SA6,EC-025-004SA5 + Dual Glass and adhesive,,,,,0,45.99,18.363293,45.99,A,7,ELANSR,0
EC-025-004UI,Dual Conveyor UI only,,,,,0,21.40022,6.102819,21.40022,P1,7,ELANSR,0
EC-025-005,Ovention Display (Hatco),,,,,0,61.22771675,71.138824,61.227717,J,7,ELANSR,19
EC-025-005SA,Final Subassembly of EC-025-005 Ovention Dual Display,,,,,0,59.253063,69.835675,59.174916,J,7,ELANSR,80
EC-025-005SA1,Ovention Dual Display Board Sub-assembly,,,,,0,61.233028,62.658283,61.233028,C,7,ELANSR,0
EC-025-005SASMT,SMT portion  of EC-025-005 Ovention Dual Display,,,,,0,57.645393,67.053291,57.645393,J,14,ELANSR,30
EC-025-005SATH,TH  portion  of EC-025-005 Ovention Dual Display,,,,,0,1.60767,2.782384,1.60767,J,14,ELANSR,0
EC-025-006,"Ovention Relay Board, Hatco",,,,,0,70.65708946,70.665548,70.657089,G,7,ELANSR,1
EC-025-006A001,Hatco Ovention Relay,,,,,0,67.96175215,70.665548,67.961752,B,7,ELANSR,0
EC-025-006M001,"RELAY BOARD, PCA, OVENTION-SERIOUS",,,,,0,80.33729643,25.712083,80.335292,A,0,ELANSR,0
EC-025-006M001SA,"SA for RELAY BOARD, PCA, OVENTION-SERIOUS",,,,,0,73.26193,25.199755,73.26193,A,0,ELANSR,0
EC-025-006M001SASMT,"SMT for RELAY BOARD, PCA, OVENTION-SERIOUS",,,,,0,61.825428,23.10015,62.280716,A,0,ELANSR,0
EC-025-006M001SATH,"TH for RELAY BOARD, PCA, OVENTION-SERIOUS",,,,,0,10.981214,2.099605,10.981214,A,0,ELANSR,0
EC-025-006M002,Ovention Relay Board - Melexis,,,,,0,80.30678932,25.712083,80.306789,F,0,ELANSR,0
EC-025-006M002SA,SA for Ovention Relay Board - Melexis,,,,,0,72.314948,25.199755,72.314948,F,0,ELANSR,0
EC-025-006M002SASMT,SMT for Ovention Relay Board - Melexis,,,,,0,59.342227,23.10015,59.342227,F,0,ELANSR,0
EC-025-006M002SATH,TH for Ovention Relay Board - Melexis,,,,,0,12.972721,2.099605,12.972721,F,0,ELANSR,0
EC-025-006MOD,"FG MOD, EC-025-006, Ovention Relay Board",,,,,0,0,102.056516,81.25,X1,0,ELANSR,0
EC-025-006SA,"Sub-assembly, Hatco Ovention Relay",,,,,0,67.691767,68.758325,68.445337,G,7,ELANSR,0
EC-025-006SAMOD,"SMT Sub-Assembly MOD, EC-025-006, Ovention Relay Board",,,,,0,74.018721,96.097849,74.018721,X1,0,ELANSR,0
EC-025-006SASMT,SMT Portion for Hatco  Ovention Relay Board,,,,,0,56.344865,48.400215,56.344865,G,14,ELANSR,0
EC-025-006SASMTMOD,"Sub-Assembly MOD, EC-025-006, Ovention Relay Board",,,,,0,67.504119,87.538244,67.504119,X1,0,ELANSR,0
EC-025-006SATH,TH portion for Hatco Ovention Relay Board,,,,,0,11.346902,20.35811,11.346902,G,14,ELANSR,0
EC-025-006SATHMOD,"TH Sub-Assembly MOD, EC-0025-006, Ovention Relay Board",,,,,0,6.514602,8.559605,6.514602,X1,0,ELANSR,0
EC-025-007,"Ovention Shuttle Board, Hatco",,,,,0,29.67195197,33.122599,29.671952,D,7,ELANSR,291
EC-025-007SA,"Ovention Shuttle Board Sub-assembly, Hatco",,,,,0,29.184336,32.763364,29.184336,D,7,ELANSR,0
EC-025-007SASMT,"SMT portion for Ovention Shuttle Board, Hatco",,,,,0,28.074034,31.734291,28.074034,D,14,ELANSR,0
EC-025-007SATH,"TH portion for Ovention Shuttle board, Hatco",,,,,0,1.110302,1.029073,1.110302,D,14,ELANSR,0
EC-025-011,Hatco Ovention RCRB,,,,,0,50.00565144,47.76414,50.005651,E,7,ELANSR,0
EC-025-011SA,Subassembly for Hatco Ovention RCRB,,,,,0,49.457361,47.147839,49.457361,E,7,ELANSR,0
EC-025-011SASMT,SMT Portion for Hatco Ovention RCRB,,,,,0,35.677695,31.82381,35.677695,E,14,ELANSR,0
EC-025-011SATH,TH Portion for Hatco Ovention RCRB,,,,,0,13.779666,15.324029,13.779666,E,14,ELANSR,0
EC-025-012,Hatco MinnowPod,,,,,0,96.07397828,111.18662,96.073978,C,0,ELANSR,0
